Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp7_font12,17660,No,38,exp,5,4,close,1400,650,400,P,P,TRUE,397.914999999979,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,39,exp,5,4,close,200,300,50,B,B,TRUE,650.331000000006,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,40,exp,5,3,close,1400,300,50,B,B,TRUE,335.804999999993,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,41,exp,5,2,close,600,650,400,B,R,FALSE,736.914999999979,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,42,exp,5,1,close,1000,300,50,R,R,TRUE,386.043000000005,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,43,exp,5,3,close,200,650,400,B,B,TRUE,510.139000000025,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,44,exp,5,1,close,1400,300,50,R,R,TRUE,546.607000000018,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,45,exp,5,3,close,200,300,50,P,B,FALSE,1200.02899999998,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,46,exp,5,1,close,1000,650,400,P,P,TRUE,314.522999999986,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,47,exp,5,4,close,1000,300,50,R,R,TRUE,616.300999999978,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,48,exp,5,4,close,1000,650,400,B,B,TRUE,325.104999999981,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,49,exp,5,4,close,600,300,50,P,R,FALSE,658.867000000027,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,50,exp,5,1,close,600,300,50,P,P,TRUE,315.309000000008,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,51,exp,5,4,close,200,650,400,B,B,TRUE,489.069000000018,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,52,exp,5,2,close,1400,650,400,P,P,TRUE,390.217000000004,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,53,exp,5,3,close,1800,650,400,B,B,TRUE,382.376999999979,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,54,exp,5,3,close,200,650,400,R,P,FALSE,340.472999999998,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,55,exp,5,2,close,200,300,50,B,B,TRUE,501.553000000014,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,56,exp,5,4,close,1800,650,400,B,B,TRUE,417.050999999978,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,57,exp,5,1,close,1800,300,50,B,B,TRUE,571.864999999991,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,58,exp,5,3,close,1400,300,50,P,P,TRUE,477.668999999994,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,59,exp,5,1,close,1400,300,50,P,P,TRUE,426.468999999983,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,60,exp,5,2,close,1800,300,50,R,R,TRUE,530.282999999996,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,61,exp,5,4,close,200,300,50,R,R,TRUE,592.879000000015,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,62,exp,5,2,close,600,300,50,P,P,TRUE,445.984999999986,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,63,exp,5,2,close,1800,300,50,P,P,TRUE,452.467000000004,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,64,exp,5,2,close,200,300,50,R,R,TRUE,414.885000000009,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,65,exp,5,3,close,200,300,50,B,B,TRUE,318.635000000009,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,66,exp,5,2,close,1400,300,50,P,P,TRUE,353.429000000004,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,67,exp,5,4,close,600,650,400,B,B,TRUE,365.873000000021,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,68,exp,5,4,close,1400,650,400,B,B,TRUE,360.683000000019,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,69,exp,5,1,close,200,650,400,P,P,TRUE,340.110999999975,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,70,exp,5,2,close,600,300,50,B,B,TRUE,343.206999999995,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,71,exp,5,3,close,1800,650,400,R,R,TRUE,410.364999999991,5fb079128b511d47995da086,1920,1080,1
