Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp6,17437,Colour,1,exp,5,3,close,600,300,50,P,P,TRUE,627.214000011911,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,2,exp,5,3,close,600,450,200,P,B,FALSE,1525.42800003575,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,3,exp,5,3,close,1800,300,50,P,P,TRUE,788.820000023814,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,4,exp,5,3,close,200,450,200,B,B,TRUE,1019.73700000002,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,5,exp,5,3,close,1000,450,200,R,R,TRUE,821.449000035762,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,6,exp,5,3,close,200,300,50,R,R,TRUE,645.615000011923,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,7,exp,5,3,close,1000,450,200,B,B,TRUE,939.374000023818,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,8,exp,5,1,close,1800,450,200,P,P,TRUE,1059.94799999997,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,9,exp,5,1,close,600,650,400,P,P,TRUE,581.554000011936,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,10,exp,5,2,close,1400,450,200,B,B,TRUE,1396.54500004766,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,11,exp,5,3,close,200,650,400,P,P,TRUE,659.749000023818,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,12,exp,5,3,close,1400,450,200,P,P,TRUE,652.563000023831,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,13,exp,5,2,close,1000,450,200,P,R,FALSE,1207.19300003577,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,14,exp,5,4,close,1000,450,200,R,R,TRUE,839.313000047696,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,15,exp,5,2,close,600,450,200,P,P,TRUE,1441.36900001194,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,16,exp,5,1,close,1000,450,200,B,B,TRUE,1117.03300002386,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,17,exp,5,3,close,1400,650,400,B,B,TRUE,871.307000047702,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,18,exp,5,4,close,1000,650,400,B,B,TRUE,1040.68900002382,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,19,exp,5,3,close,200,450,200,P,P,TRUE,824.658000023861,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,20,exp,5,1,close,1000,650,400,R,R,TRUE,912.10400003579,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,21,exp,5,1,close,1000,650,400,B,B,TRUE,945.288000023866,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,22,exp,5,2,close,200,300,50,B,B,TRUE,858.121000047657,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,23,exp,5,1,close,1800,450,200,R,R,TRUE,816.127000047709,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,24,exp,5,2,close,200,450,200,P,P,TRUE,875.433000035759,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,25,exp,5,1,close,1800,650,400,P,P,TRUE,694.570000000007,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,26,exp,5,3,close,1400,300,50,B,B,TRUE,888.146000023815,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,27,exp,5,3,close,200,650,400,B,B,TRUE,702.462000011932,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,28,exp,5,4,close,600,650,400,P,P,TRUE,816.989999999991,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,29,exp,5,1,close,200,650,400,R,B,FALSE,953.404000011913,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,30,exp,5,2,close,1800,450,200,R,R,TRUE,1088.51200003579,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,31,exp,5,2,close,1800,650,400,P,P,TRUE,759.463000035787,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,32,exp,5,4,close,1800,450,200,P,B,FALSE,832.597000047681,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,33,exp,5,4,close,1400,650,400,B,B,TRUE,537.887000023853,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,34,exp,5,4,close,1000,650,400,P,P,TRUE,519.455000047688,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,35,exp,5,3,close,600,650,400,P,P,TRUE,1272.03899999999,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,36,exp,5,3,close,600,450,200,B,B,TRUE,701.393000011914,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,37,exp,5,2,close,1400,300,50,P,P,TRUE,679.269000047701,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,38,exp,5,2,close,1800,650,400,R,R,TRUE,857.841000023822,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,39,exp,5,3,close,200,300,50,B,P,FALSE,718.118000035756,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,40,exp,5,2,close,1800,300,50,R,B,FALSE,1565.34400001192,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,41,exp,5,2,close,200,450,200,B,B,TRUE,1598.88000004768,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,42,exp,5,4,close,1400,450,200,B,B,TRUE,628.546000023838,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,43,exp,5,2,close,1400,300,50,B,R,FALSE,1022.98600003577,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,44,exp,5,4,close,600,300,50,R,R,TRUE,1096.97600002383,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,45,exp,5,1,close,1400,450,200,R,R,TRUE,848.648999999976,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,46,exp,5,3,close,1800,650,400,B,B,TRUE,712.961000011943,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,47,exp,5,3,close,200,650,400,R,R,TRUE,701.837000035739,60fe15aa117abf1e8d1dd988,1440,814,2
SaccadeExp6,17437,Colour,48,exp,5,2,close,1000,450,200,R,B,FALSE,1205.76899999997,60fe15aa117abf1e8d1dd988,1440,814,2
