Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp7_font16,17711,No,1,exp,5,2,close,1000,650,400,B,B,TRUE,734.761000002967,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,2,exp,5,4,close,1800,300,50,B,B,TRUE,634.502999998513,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,3,exp,5,2,close,1800,650,400,B,B,TRUE,380.191999998497,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,4,exp,5,4,close,200,300,50,P,P,TRUE,569.374999998516,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,5,exp,5,3,close,200,300,50,P,P,TRUE,525.534000002983,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,6,exp,5,3,close,1800,650,400,P,P,TRUE,435.872000002972,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,7,exp,5,4,close,1400,300,50,B,B,TRUE,588.607000002987,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,8,exp,5,4,close,200,650,400,P,P,TRUE,338.359000004479,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,9,exp,5,4,close,600,300,50,P,P,TRUE,320.227000004466,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,10,exp,5,4,close,200,650,400,R,R,TRUE,336.088000001502,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,11,exp,5,1,close,1000,300,50,P,P,TRUE,381.996999998519,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,12,exp,5,3,close,200,650,400,R,R,TRUE,362.90800000148,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,13,exp,5,4,close,200,300,50,B,B,TRUE,663.964999998512,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,14,exp,5,1,close,1000,300,50,R,R,TRUE,504.184999998513,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,15,exp,5,1,close,1800,300,50,P,P,TRUE,397.90400000001,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,16,exp,5,3,close,600,650,400,B,B,TRUE,458.974999998522,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,17,exp,5,3,close,1000,650,400,B,B,TRUE,469.398000004468,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,18,exp,5,2,close,600,300,50,B,B,TRUE,397.259000002989,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,19,exp,5,2,close,1000,300,50,B,B,TRUE,344.777999998507,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,20,exp,5,3,close,1800,300,50,R,R,TRUE,469.393000001495,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,21,exp,5,3,close,600,650,400,R,R,TRUE,366.759000002989,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,22,exp,5,2,close,600,650,400,B,B,TRUE,460.532999999996,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,23,exp,5,4,close,1800,650,400,B,B,TRUE,421.709000004485,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,24,exp,5,1,close,1400,650,400,R,R,TRUE,448.820000000007,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,25,exp,5,1,close,1800,650,400,R,R,TRUE,329.823999998509,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,26,exp,5,4,close,1400,650,400,P,P,TRUE,312.010000001465,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,27,exp,5,1,close,600,650,400,P,P,TRUE,280.685000002966,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,28,exp,5,4,close,600,300,50,B,B,TRUE,568.761999999988,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,29,exp,5,4,close,1800,650,400,P,P,TRUE,349.309999999998,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,30,exp,5,2,close,1800,650,400,P,P,TRUE,314.468000004475,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,31,exp,5,1,close,200,300,50,P,P,TRUE,410.77700000297,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,32,exp,5,3,close,600,300,50,P,P,TRUE,308.925999999978,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,33,exp,5,2,close,600,300,50,P,P,TRUE,308.023000002955,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,34,exp,5,2,close,1400,650,400,R,R,TRUE,355.666000000027,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,35,exp,5,2,close,1000,300,50,R,R,TRUE,304.81000000448,5f0e13040fa43b1294cad639,1920,1040,1
SaccadeExp7_font16,17711,No,36,exp,5,2,close,1000,650,400,R,R,TRUE,368.791000000027,5f0e13040fa43b1294cad639,1920,1040,1
