ID,Block,trial,cueLoc,stimLoc,locDist,FixDur,CTI,stim,response,correct,RTms,prolific_id
17321,Colour,42,5,2,NA,1800,50,R,B,FALSE,111.166999928479,611e283064ad72ef8c6f48cd
17321,Colour,43,5,3,NA,1800,400,R,B,FALSE,436.702999928501,611e283064ad72ef8c6f48cd
17321,Colour,44,5,2,NA,1400,400,R,R,TRUE,342.432999928482,611e283064ad72ef8c6f48cd
17321,Colour,45,5,2,NA,1400,200,B,R,FALSE,237.74499997613,611e283064ad72ef8c6f48cd
17321,Colour,46,5,1,NA,200,50,P,P,TRUE,372.965999952343,611e283064ad72ef8c6f48cd
17321,Colour,47,5,4,NA,600,400,B,B,TRUE,284.101999904611,611e283064ad72ef8c6f48cd
17321,Colour,48,5,2,NA,1400,400,P,R,FALSE,11.9689999761758,611e283064ad72ef8c6f48cd
17321,Colour,49,5,1,NA,1800,50,R,R,TRUE,214.083999928494,611e283064ad72ef8c6f48cd
17321,Colour,50,5,3,NA,600,50,R,B,FALSE,776.469999976165,611e283064ad72ef8c6f48cd
17321,Colour,51,5,4,NA,1800,400,P,B,FALSE,140.325999928464,611e283064ad72ef8c6f48cd
17321,Colour,52,5,3,NA,1800,400,B,B,TRUE,116.474999904633,611e283064ad72ef8c6f48cd
17321,Colour,53,5,2,NA,1800,400,R,P,FALSE,147.978999928455,611e283064ad72ef8c6f48cd
17321,Colour,54,5,2,NA,1800,200,B,R,FALSE,152.546999928483,611e283064ad72ef8c6f48cd
17321,Colour,55,5,1,NA,1400,50,B,R,FALSE,242.220999976154,611e283064ad72ef8c6f48cd
17321,Colour,56,5,4,NA,1800,50,P,R,FALSE,329.016999999993,611e283064ad72ef8c6f48cd
17321,Colour,57,5,1,NA,1800,400,P,R,FALSE,760.322999928496,611e283064ad72ef8c6f48cd
17321,Colour,58,5,2,NA,1000,50,R,R,TRUE,354.616999976162,611e283064ad72ef8c6f48cd
17321,Colour,59,5,1,NA,1000,400,R,B,FALSE,288.468999904639,611e283064ad72ef8c6f48cd
17321,Colour,60,5,2,NA,1400,50,R,R,TRUE,436.070999952324,611e283064ad72ef8c6f48cd
17321,Colour,61,5,4,NA,200,50,P,B,FALSE,371.933999976143,611e283064ad72ef8c6f48cd
17321,Colour,62,5,4,NA,1400,50,R,P,FALSE,186.001999999979,611e283064ad72ef8c6f48cd
17321,Colour,63,5,4,NA,1400,400,R,R,TRUE,381.70299999998,611e283064ad72ef8c6f48cd
17321,Colour,64,5,2,NA,600,50,R,B,FALSE,203.543999976129,611e283064ad72ef8c6f48cd
17321,Colour,65,5,4,NA,1800,400,B,B,TRUE,169.778999976174,611e283064ad72ef8c6f48cd
17321,Colour,66,5,2,NA,1800,50,B,P,FALSE,341.275000000023,611e283064ad72ef8c6f48cd
17321,Colour,67,5,1,NA,1000,200,B,B,TRUE,263.027999976184,611e283064ad72ef8c6f48cd
17321,Colour,68,5,3,NA,600,400,P,P,TRUE,888.916999928479,611e283064ad72ef8c6f48cd
17321,Colour,69,5,2,NA,200,400,P,R,FALSE,61.332999928447,611e283064ad72ef8c6f48cd
17321,Colour,70,5,3,NA,200,400,P,R,FALSE,766.514999928477,611e283064ad72ef8c6f48cd
17321,Colour,71,5,4,NA,1400,400,B,R,FALSE,139.294999928446,611e283064ad72ef8c6f48cd
17321,Colour,72,5,1,NA,1800,200,P,B,FALSE,165.615999928501,611e283064ad72ef8c6f48cd
